Edad,Altura,Peso,estado_fisico,salud,alimentacion,fruta_consumo,verdura_consumo,genero,actividad_fisica,dias_entreno,horas_entreno,entreno_constante,enfoque,areas__Abdomen,areas__Brazo,areas__Cardio,areas__Espalda,areas__Pecho,areas__Pierna,efectividad,consumo__Creatina,consumo__Nada,consumo__Otro,consumo__Pre-Entreno,consumo_proteina,horas_dormir,fuente_energia1,fuente_energia2,agua,motivo__Aumentodemasamuscular,motivo__Definicion_muscular,motivo__Perdida_Peso,motivo__Salud,disponibilidad_tiempo,experiencia_fuerza,experiencia_cardio,acceso,preferencia_area,intensidad,IMC,grasa_corporal,grasa_corporal_magra
19,1.6,133.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,0,1,1,0,1,0,0,0,23.62,27.31,46.18
20,1.67,170.0,6.0,8.0,5.0,4.0,4.0,0,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1.0,3,1,1,3,0,1,1,0,1,0,1,0,0,1,27.71,32.45,55.86
22,1.83,225.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,1,0,1,0,0,0,2,1,30.54,25.51,71.04
22,1.75,217.0,8.0,9.0,4.0,5.0,3.0,1,1,0,1,0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,0,0,1,0,1,0,4,0,32.21,27.51,66.87
20,1.8,145.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,0,0,1,0,1,0,1,20.34,12.81,52.5
22,1.82,196.0,6.0,8.0,4.0,3.0,3.0,1,1,0,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,0.0,0.0,0,1,1,1,1,0,1,0,1,0,0,0,5,0,26.9,21.14,65.13
25,1.76,167.2,7.0,9.0,5.0,5.0,5.0,1,1,3,4,0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,1.0,1.0,1,1,1,3,1,1,0,0,1,0,1,0,2,0,24.54,19.0,57.35
22,1.73,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,0,0,1,1,1,1,0,0,0,22.78,16.2,52.65
20,1.75,140.0,6.0,7.0,3.0,3.0,3.0,0,1,1,2,0,0,0.0,1.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0.0,0.0,0.0,0,0,2,2,0,1,1,0,0,1,1,0,0,0,20.78,24.14,50.41
19,1.67,125.0,6.0,6.0,2.0,3.0,3.0,0,1,0,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,2,1,1,1,1,2,0,0,0,3,2,20.37,23.41,45.24
20,1.64,130.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,1,21.97,25.56,46.11
20,1.53,110.0,5.0,5.0,3.0,5.0,5.0,0,1,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,21.36,24.83,39.32
20,1.67,130.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,1,0,1,1,1,0,0,21.19,24.63,46.57
24,1.7,185.0,5.0,8.0,3.0,4.0,5.0,1,1,0,1,2,1,0.0,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1.0,0.0,0.0,0,0,2,3,1,1,1,1,1,0,0,0,3,0,29.1,24.24,59.62
20,1.71,121.0,5.0,7.0,4.0,4.0,5.0,1,0,1,1,2,0,0.0,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0.0,0.0,0.0,1,0,0,2,0,1,0,1,1,1,1,0,2,1,18.81,10.97,44.65
22,1.72,185.0,1.0,5.0,1.0,2.0,1.0,1,1,1,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0,1,1,2,0,0,1,0,1,0,0,0,5,0,28.42,22.96,60.19
22,1.8,190.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,1,1,1,0,0,0,2,0,26.66,20.85,63.34
30,1.55,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,1,0,1,1,1,1,0,0,11.92,15.8,25.22
21,1.54,120.0,5.0,5.0,4.0,2.0,1.0,0,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,2,1,1,3,1,0,1,0,1,1,0,1,3,0,23.0,27.03,42.0
20,1.64,145.0,8.0,9.0,4.0,3.0,4.0,0,1,0,1,2,1,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,1,0,0,3,1,1,0,0,1,0,1,0,3,0,24.51,28.61,49.75
23,1.53,189.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,1,1,1,0,0,1,2,0,36.7,33.13,54.38
23,1.62,99.6,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,0,1,1,0,0,1,0,0,17.25,20.59,37.46
20,1.71,140.0,3.0,4.0,2.0,5.0,4.0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,3,0,1,1,1,1,0,1,1,0,0,21.76,25.31,49.79
21,1.74,140.0,6.0,6.0,3.0,5.0,5.0,1,1,0,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,21.02,13.85,50.26
20,1.7,142.0,6.0,8.0,3.0,2.0,2.0,0,1,3,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1,0,2,2,0,0,0,1,1,0,1,0,0,0,22.33,26.0,50.13
22,1.6,110.0,6.0,8.0,3.0,3.0,3.0,0,1,3,2,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1,0,2,0,0,1,0,1,1,0,0,0,3,0,19.53,23.1,40.23
22,1.7,209.0,4.0,7.0,4.0,3.0,4.0,1,1,3,1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1,1,1,3,1,0,1,0,1,0,0,0,0,0,32.87,28.3,63.77
22,1.6,120.0,7.0,8.0,4.0,5.0,5.0,0,0,0,2,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,21.31,25.23,42.92
20,1.5,107.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,1,0,1,1,1,2,0,21.62,25.14,38.12
20,1.78,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,1,1,1,0,0,0,0,0,35.87,42.24,72.88
21,1.75,155.0,7.0,8.0,3.0,3.0,3.0,1,0,3,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,1,1,1,0,1,1,0,0,1,0,0,1,0,2,23.01,16.24,54.24
22,1.87,186.0,7.0,7.0,3.0,2.0,5.0,1,1,0,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,1.0,1,1,1,1,1,0,1,1,1,0,0,0,0,2,24.18,17.88,64.1
19,1.7,145.0,7.0,10.0,3.0,4.0,5.0,1,1,0,1,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0,1,1,3,0,0,0,1,1,0,0,0,0,0,22.81,15.54,50.88
23,1.55,125.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,1,1,1,0,0,3,0,23.65,28.27,43.38
20,1.79,118.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,0,1,1,1,1,0,0,16.74,8.49,44.66
20,1.71,140.0,7.0,7.0,5.0,4.0,5.0,1,1,0,4,0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0,1,1,2,1,1,0,1,1,0,1,0,3,2,21.76,14.51,49.79
21,1.6,130.0,7.0,7.0,3.0,5.0,5.0,0,1,3,4,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,23.08,27.13,45.45
22,1.75,145.0,4.0,4.0,3.0,2.0,3.0,1,0,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,2,0,2,0,1,1,0,1,0,0,1,1,0,0,21.52,14.68,51.73
22,1.62,135.0,7.0,10.0,5.0,2.0,1.0,1,1,0,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,23.38,16.92,47.02
21,1.62,165.0,1.0,1.0,1.0,5.0,3.0,0,1,3,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,2,0,2,4,0,0,1,1,1,0,0,0,0,2,28.58,33.73,53.56
21,1.58,138.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,1,1,1,1,1,0,2,0,25.13,29.59,46.96
20,1.57,115.0,5.0,9.0,4.0,2.0,4.0,0,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,21.21,24.65,41.19
20,1.75,165.0,7.0,7.0,3.0,4.0,4.0,0,1,3,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,2,1,1,1,1,1,1,0,1,0,0,0,2,0,24.49,28.59,56.63
22,1.55,96.0,7.0,8.0,3.0,4.0,3.0,0,0,3,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,2,0,3,1,1,0,1,1,0,1,0,0,0,18.16,21.45,35.71
23,1.65,140.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,1,1,0,1,0,1,0,0,23.37,17.13,48.76
22,1.75,230.0,5.0,2.0,2.0,2.0,5.0,0,1,0,2,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,1,1,0,1,1,1,1,0,0,0,0,2,0,34.14,40.63,68.85
19,1.63,123.0,7.0,8.0,5.0,5.0,5.0,0,0,3,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1,1,1,3,0,1,0,0,1,1,1,1,0,0,21.04,24.22,44.15
23,1.75,178.0,7.0,8.0,4.0,4.0,4.0,1,1,3,4,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,26.42,20.79,59.53
22,1.62,120.0,7.0,9.0,3.0,4.0,4.0,0,1,3,4,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,1,0,0,3,0,0,0,0,2,20.78,24.6,43.21
23,1.8,145.0,4.0,7.0,4.0,1.0,2.0,1,1,3,1,0,1,0.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0,1,1,1,1,0,0,0,1,0,1,0,0,2,20.34,13.5,52.5
21,1.55,135.0,5.0,9.0,3.0,4.0,4.0,0,1,0,1,2,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,1,1,2,1,0,1,0,1,1,0,0,0,0,25.54,30.08,45.69
22,1.65,127.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,1,1,1,0,0,1,0,2,21.2,25.1,45.49
19,1.8,180.0,6.0,10.0,4.0,3.0,2.0,1,1,0,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,2,0,0,1,1,1,1,1,0,0,0,25.25,18.47,61.16
28,1.6,140.0,7.0,7.0,3.0,4.0,3.0,0,1,3,1,0,1,0.0,1.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,1,1,3,1,0,0,0,1,0,1,0,2,0,24.86,30.87,47.82
16,1.65,115.0,8.0,8.0,3.0,4.0,3.0,0,1,3,1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,0,2,2,0,1,0,1,1,1,1,0,2,0,19.2,21.32,42.24
21,1.54,96.0,8.0,8.0,3.0,3.0,2.0,0,1,0,1,0,1,1.0,1.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1,0,2,0,1,1,0,1,1,1,1,0,3,0,18.4,21.51,35.61
23,1.55,100.0,8.0,5.0,2.0,4.0,4.0,0,0,0,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,2,1,0,1,1,1,0,1,0,0,1,18.92,22.59,36.85
22,1.78,200.0,9.0,5.0,1.0,5.0,3.0,1,1,3,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,1,0,2,3,1,1,0,0,1,0,0,0,2,2,28.69,23.29,64.83
21,1.65,153.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,0,1,1,1,1,0,0,0,25.54,19.28,51.78
21,1.62,120.0,8.0,8.0,5.0,3.0,2.0,0,1,1,1,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0,1,1,3,0,0,0,1,1,0,0,0,0,0,20.78,24.37,43.21
25,1.6,130.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,23.08,28.05,45.45
19,1.76,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,0,0,0,1,1,1,0,17.61,9.3,44.94
22,1.67,150.0,6.0,8.0,3.0,4.0,2.0,0,1,3,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,2,1,1,4,0,0,1,0,1,1,1,0,2,0,24.45,29.0,51.51
18,1.65,160.0,5.0,6.0,3.0,3.0,3.0,0,0,1,2,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,2,1,0,0,1,0,0,1,1,1,0,3,1,26.71,30.79,53.3
19,1.6,160.0,5.0,6.0,2.0,3.0,3.0,0,1,0,1,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,28.41,33.06,52.07
20,1.64,130.0,1.0,1.0,3.0,2.0,3.0,0,1,0,2,0,2,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,1.0,0.0,0.0,0.0,1,1,1,4,0,0,1,0,0,0,0,0,0,0,21.97,25.56,46.11
23,1.77,177.0,7.0,10.0,3.0,5.0,3.0,1,1,3,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,1,1,4,0,1,0,0,0,0,0,0,2,0,25.68,19.91,59.79
19,1.54,103.0,7.0,5.0,3.0,2.0,5.0,0,1,0,2,2,1,1.0,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,3,0,2,4,1,1,0,0,1,0,1,0,3,0,19.74,22.66,37.58
22,1.6,125.0,7.0,7.0,4.0,5.0,5.0,0,1,3,1,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0,1,1,4,0,1,1,0,1,0,0,0,0,2,22.19,26.29,44.21
47,1.35,145.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,1,1,0,1,1,1,0,1,36.16,27.2,42.08
22,1.72,150.0,7.0,9.0,3.0,3.0,4.0,1,0,1,2,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,1,0,0,0,2,2,23.05,16.52,52.47
22,1.8,155.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,1,0,1,0,0,0,0,0,21.75,14.96,55.13
46,1.71,197.0,6.0,6.0,3.0,1.0,4.0,1,1,0,1,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1,1,2,3,0,0,1,0,1,1,0,0,0,0,30.62,31.12,62.13
22,1.7,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,1,1,1,0,1,0,4,1,11.8,3.02,30.07
20,1.65,120.0,6.0,8.0,3.0,3.0,3.0,0,0,0,1,0,2,1.0,0.0,1.0,0.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,1,1,2,0,0,1,1,1,1,1,1,2,1,20.04,23.25,43.61
18,1.57,135.0,8.0,10.0,4.0,5.0,5.0,0,0,3,1,2,1,0.0,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,3,1,1,0,1,1,0,1,1,0,2,24.89,28.61,46.09
20,1.73,194.0,5.0,7.0,2.0,3.0,3.0,1,1,0,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,3,0,0,1,1,1,0,0,0,4,2,29.46,23.75,62.2
56,1.5,160.0,6.0,7.0,3.0,3.0,3.0,0,0,3,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,32.32,46.26,49.22
